participant,session,typing_speed,pause_ratio,backspace_ratio,mean_dwell,timing_variance,label
p014,2,2.533225978284401,0.07871139156426436,0.07837927598804384,0.07745333776154101,0.6275877212532417,interested
p015,1,1.624520461767966,0.023218316672041276,0.11351177039664624,0.12844663011931634,294.1052504640418,neutral
p015,2,3.727914502610981,0.019563090968373,0.08770785784153896,0.13048842517117704,0.11501774980313093,interested
p016,1,3.2202719681117755,0.03296703296703297,0.042440318302387266,0.10983440697233798,0.0802641546604016,interested
p016,2,3.4765374395188506,0.025225225225225224,0.03279279279279279,0.10347135135135134,0.06457713554566773,interested
p017,1,4.314888846765483,0.00691471847217649,0.09746460322686862,0.1691491603556141,6.5198502414304595,interested
p017,2,4.1626143940250095,0.015220700152207,0.014079147640791476,0.07489802130898021,0.04079802460072232,interested
p018,1,2.9478468210367623,0.0621425848265345,0.03812428516965307,0.06599847502859323,0.22132052728536872,interested
p018,2,2.753312353093203,0.07160152196471808,0.059494984434451746,0.06651850570736768,0.37353083829244876,interested
p019,1,2.005855815412176,0.008175399479747306,0.055741360089186176,0.29866295057599407,22.782232926446568,interested
p019,2,1.6011152664590456,0.018973998594518624,0.05586788475052706,0.4890607870695713,23.481635822680104,neutral
p020,1,3.386096797894636,0.013494318181818182,0.06747159090909091,0.2020419034090909,3.562221637784836,interested
p020,2,2.3356504064890613,0.020055325034578148,0.05532503457814661,0.3494363762102351,8.560722928383623,interested
p021,1,4.895203161144864,0.003417634996582365,0.08475734791524266,0.114068010936432,0.016955096834965995,interested
p021,2,4.948966833838901,0.0009900990099009901,0.07557755775577557,0.10389240924092409,0.014125357719066835,interested
p022,1,5.591528800650012,0.0030464584920030465,0.043031226199543034,0.11411538461538463,0.01585373068980613,confident
p022,2,5.554582667351562,0.0021253985122210413,0.05348919589089621,0.11728055260361317,0.13706842631821517,confident
p023,1,2.4336007491219283,0.060653800708940525,0.02599448601811737,0.09089917290271761,0.4551676193752673,interested
p023,2,2.5425701421006734,0.058191252779836916,0.02853965900667161,0.09161638250555967,0.2715943880439495,interested
p024,1,4.964158946746487,0.009611829944547136,0.05767097966728281,0.1106170055452865,0.052592381219025874,interested
p024,2,4.946241328899602,0.0067390490453013855,0.027330587794833397,0.11287532759266193,0.03825527002757508,interested
p025,1,2.1185752766984516,0.03295019157088123,0.04061302681992337,0.07696130268199235,9.472457613546045,interested
p025,2,2.650657633235767,0.027727106895293688,0.03867201751185698,0.08100656694636993,2.2898219605826684,interested
p026,1,4.915756680022378,0.008360596146855689,0.06615776081424936,0.09791566703017084,0.03270800148161329,interested
p026,2,4.942959664123285,0.006137184115523465,0.0444043321299639,0.0979534296028881,0.0282742955224496,interested
p027,1,3.2971765017604775,0.010432766615146832,0.03593508500772798,0.1671789026275116,3.9164140972039285,interested
p027,2,3.5302211255951237,0.005939123979213066,0.02746844840386043,0.15420378619153674,5.966804178263132,interested
p028,1,4.271922865885654,0.010732081257186662,0.038328861632809505,0.12846262935990801,0.05821218330141088,interested
p028,2,4.024707182712878,0.008911994058670627,0.030820646119569254,0.12832083178611214,0.2102820373739993,interested
p029,1,2.463132837027486,0.06797477224947442,0.06587245970567625,0.0952365101611773,3.2618672700935933,interested
p029,2,2.7748003733121953,0.06271536871123363,0.05823569951757409,0.0987263955892488,0.20837830906109628,interested
p030,1,3.1779936042985963,0.03126110124333925,0.0674955595026643,0.09177087033747779,0.06058561211098481,interested
p030,2,2.8119463126755546,0.0320445837687217,0.050853361198188785,0.08913166144200627,0.08662958790438062,interested
p031,1,1.166241791857573,0.055721765145848916,0.044128646222887064,0.5850598578376356,37.76561682929265,neutral
p031,2,0.980107000544662,0.07661870503597122,0.04064748201438849,0.6026600719424461,72.02509469763713,neutral
p032,1,2.546267026882168,0.04843304843304843,0.013431013431013432,0.09573504273504273,0.0847604117398175,interested
p032,2,2.7411323168839137,0.03263403263403263,0.009712509712509712,0.08895493395493395,0.08368420460338687,interested
p033,1,7.048969886989475,0.0006781959986436081,0.10206849779586301,0.08437788331071913,0.010551268845441794,confident
p033,2,7.373445111081236,0.0006453694740238787,0.0951919974185221,0.0872411233053583,0.02303845859786841,confident
p034,1,4.224127214372748,0.016140602582496413,0.06348637015781923,0.11091284074605452,0.06790929679298537,interested
p034,2,4.393272148135565,0.012982576016399043,0.06047147249743765,0.11246771438332763,0.03894275009557932,interested
p035,1,2.790155517009302,0.05889925973607982,0.08303830061152237,0.06691149018345671,0.17344418320658642,interested
p035,2,2.9145997875806793,0.04944289693593315,0.06093314763231198,0.07227193593314764,0.07966446854632504,interested
p036,1,4.111963637198933,0.017970797454137027,0.052789217521527515,0.10481842006739048,0.04179385515230725,interested
p036,2,3.9391745055189364,0.028308823529411765,0.03602941176470588,0.10998051470588235,0.0499692862656748,interested
p037,1,2.5379699102272895,0.06281323087203475,0.09355162044771133,0.12282158369528902,0.49966298605376175,interested
p037,2,1.52427353325995,0.058382257012393995,0.07436399217221135,0.28892526109660577,42.8446525059023,neutral
p038,1,3.187857988200393,0.011913104414856343,0.07603363700070077,0.23307182901191312,3.7140742632014634,interested
p038,2,5.8343579174623015,0.004668222740913638,0.06635545181727243,0.09000333444481493,0.035357969417050286,confident
p039,1,1.7521323624400353,0.01309757694826457,0.10576293385723641,0.2578732809430256,164.58092131726104,neutral
p039,2,2.206370173915241,0.010880316518298714,0.08176722716782064,0.2824978569073524,34.16464539909471,interested
p040,1,2.7107085224689236,0.013197586726998492,0.049396681749622924,0.3052726244343891,5.8231865553280775,interested
p040,2,2.7853028692132877,0.017425320056899004,0.051209103840682786,0.29904623044096723,5.823674993581747,interested
p041,1,1.0966200598713287,0.06737849779086892,0.048600883652430045,0.07441936671575848,492.1828736304475,neutral
p041,2,1.658333864045315,0.12413793103448276,0.03411978221415608,0.07341669691470054,1.6812924808871272,neutral
p042,1,6.627801550197215,0.0014550745725718443,0.06511458712259004,0.09666569661695164,0.013734112694447922,confident
p042,2,3.5742005450422254,0.013614703880190605,0.06977535738597686,0.1993989108236896,3.076687657247823,interested
p043,1,3.864472393979665,0.003672420124862284,0.056555269922879174,0.25014763128901946,12.476626077133242,interested
p043,2,3.6803932561512664,0.004889975550122249,0.05518686692280824,0.2587268599371289,8.677011938363735,interested
p044,1,4.4916523933371835,0.007800891530460624,0.05349182763744428,0.13584546805349185,0.74610339718076,interested
p044,2,3.447697189434621,0.01634580457682528,0.03922993098438068,0.2038042135851798,1.4656057650839194,interested
